bidet|bidet|noun|2|file:///sdcard/acc_icons/2278_2.png.64x64_q85.png|fr|0|
bikini|bikini|noun|2|file:///sdcard/acc_icons/2279_2.png.64x64_q85.png|fr|0|
biquini|biquini|noun|2|file:///sdcard/acc_icons/2279_2.png.64x64_q85.png|fr|0|
blouse|blouse|noun|2|file:///sdcard/acc_icons/2280_2.png.64x64_q85.png|fr|4|4
sandwich|sandwich|noun|2|file:///sdcard/acc_icons/2281_2.png.64x64_q85.png|fr|10|10
stylo|stylo|noun|2|file:///sdcard/acc_icons/2282_2.png.64x64_q85.png|fr|0|
quilles|quilles|noun|2|file:///sdcard/acc_icons/2283_2.png.64x64_q85.png|fr|0|
sac|sac|noun|2|file:///sdcard/acc_icons/2284_2.png.64x64_q85.png|fr|8|8
ampoule|ampoule|noun|2|file:///sdcard/acc_icons/2285_2.png.64x64_q85.png|fr|0|
effacer|effacer|verb|3|file:///sdcard/acc_icons/2286_2.png.64x64_q85.png|fr|0|
bottes|bottes|noun|2|file:///sdcard/acc_icons/2287_2.png.64x64_q85.png|fr|4|4
chaussures|chaussures|noun|2|file:///sdcard/acc_icons/2287_2.png.64x64_q85.png|fr|4|4
bottes de pluie|bottes de pluie|noun|2|file:///sdcard/acc_icons/2287_2.png.64x64_q85.png|fr|4|4
bouteille|bouteille|noun|2|file:///sdcard/acc_icons/2288_2.png.64x64_q85.png|fr|0|
bouteille vide|bouteille vide|noun|2|file:///sdcard/acc_icons/2288_2.png.64x64_q85.png|fr|0|
culottes|culottes|noun|2|file:///sdcard/acc_icons/2289_2.png.64x64_q85.png|fr|4|4
culotte|culotte|noun|2|file:///sdcard/acc_icons/2289_2.png.64x64_q85.png|fr|4|4
écharpe|echarpe|noun|2|file:///sdcard/acc_icons/2290_2.png.64x64_q85.png|fr|4|4
âne|ane|noun|2|file:///sdcard/acc_icons/2291_2.png.64x64_q85.png|fr|2|2
boîte à lettres|boite a lettres|noun|2|file:///sdcard/acc_icons/2292_2.png.64x64_q85.png|fr|0|
boîte aux lettres d'escalier|boite aux lettres d'escalier|noun|2|file:///sdcard/acc_icons/2293_2.png.64x64_q85.png|fr|0|
cheval|cheval|noun|2|file:///sdcard/acc_icons/2294_2.png.64x64_q85.png|fr|2|2
chèvre|chevre|noun|2|file:///sdcard/acc_icons/2295_2.png.64x64_q85.png|fr|2|2
café|cafe|noun|2|file:///sdcard/acc_icons/2296_2.png.64x64_q85.png|fr|10|10
cafetière|cafetiere|noun|2|file:///sdcard/acc_icons/2297_2.png.64x64_q85.png|fr|0|
chaussettes|chaussettes|noun|2|file:///sdcard/acc_icons/2298_2.png.64x64_q85.png|fr|4|4
rue|rue|noun|2|file:///sdcard/acc_icons/2299_2.png.64x64_q85.png|fr|13|13
avenue|avenue|noun|2|file:///sdcard/acc_icons/2299_2.png.64x64_q85.png|fr|13|13
chaleur|chaleur|adjective|4|file:///sdcard/acc_icons/2300_2.png.64x64_q85.png|fr|16|16
chaud|chaud|adjective|4|file:///sdcard/acc_icons/2300_2.png.64x64_q85.png|fr|8|8,16,17
bouffées de chaleur|bouffees de chaleur|noun|2|file:///sdcard/acc_icons/2300_2.png.64x64_q85.png|fr|16|16
échauffer|echauffer|verb|3|file:///sdcard/acc_icons/2300_2.png.64x64_q85.png|fr|16|16
chaussée|chaussee|noun|2|file:///sdcard/acc_icons/2302_2.png.64x64_q85.png|fr|0|
route|route|noun|2|file:///sdcard/acc_icons/2302_2.png.64x64_q85.png|fr|0|
caleçons|calecons|noun|2|file:///sdcard/acc_icons/2303_2.png.64x64_q85.png|fr|4|4
caleçon|calecon|noun|2|file:///sdcard/acc_icons/2303_2.png.64x64_q85.png|fr|4|4
lit|lit|noun|2|file:///sdcard/acc_icons/2304_2.png.64x64_q85.png|fr|9|9
dromadaire|dromadaire|noun|2|file:///sdcard/acc_icons/2305_2.png.64x64_q85.png|fr|2|2
camion|camion|noun|2|file:///sdcard/acc_icons/2306_2.png.64x64_q85.png|fr|18|18
camion pour enfants|camion pour enfants|noun|2|file:///sdcard/acc_icons/2307_2.png.64x64_q85.png|fr|0|
chemise|chemise|noun|2|file:///sdcard/acc_icons/2308_2.png.64x64_q85.png|fr|4|4,8
tee-shirt|tee-shirt|noun|2|file:///sdcard/acc_icons/2309_2.png.64x64_q85.png|fr|4|4
t-shirt à bretelles|t-shirt a bretelles|noun|2|file:///sdcard/acc_icons/2310_2.png.64x64_q85.png|fr|0|
chemise de nuit|chemise de nuit|noun|2|file:///sdcard/acc_icons/2311_2.png.64x64_q85.png|fr|0|
crabe|crabe|noun|2|file:///sdcard/acc_icons/2312_2.png.64x64_q85.png|fr|2|2
